term,aliases,target,코드수,수입액_백만달러,수입몫_%,이미검색됨,판정,대상_법정명칭
디스플레이모듈,평판디스플레이|LCD모듈|OLED모듈,8524,36,2414.0,0.382,0/36,OK,평판디스플레이 모듈(터치감응식 스크린을 장착한 것인지에 상관없다)
메모리카드,USB|SD카드|저장매체|광디스크,8523,33,2919.5,0.462,0/33,OK,디스크·테이프·솔리드스테이트(solid-state)의 비휘발성 기억장치·스마트카드와 음성이나 그 밖의 현상의
구리스크랩,동스크랩|폐동,7404,1,2744.0,0.434,0/1,OK,구리의 웨이스트(waste)와 스크랩(scrap)
알루미늄스크랩,폐알루미늄,7602,2,1885.9,0.299,0/2,OK,알루미늄의 웨이스트(waste)와 스크랩(scrap)
합금철,페로실리콘|페로망간,7202,17,1785.7,0.283,17/17,이미검색됨,합금철(ferro-alloy)
광학렌즈,프리즘|반사경|광학소자,9002,11,1528.3,0.242,0/11,OK,각종 재료로 만든 렌즈·프리즘·반사경과 그 밖의 광학소자(장착된 것으로서 기기의 부분품으로 사용하거나 기기에
철구조물,철골|강구조,7308,6,2032.1,0.322,0/6,OK,철강으로 만든 구조물(제9406호의 조립식 건축물은 제외한다)과 구조물의 부분품[예: 다리와 교량·수문·탑·
플라스틱필름,비닐|필름,3920,23,1912.3,0.303,0/23,OK,플라스틱으로 만든 그 밖의 판·시트(sheet)·필름·박(箔)·스트립(셀룰러가 아닌 것으로서 그 밖의 재료로
플라스틱제품,플라스틱용기|플라스틱부품,3926,13,1800.4,0.285,0/13,OK,플라스틱으로 만든 그 밖의 제품과 제3901호부터 제3914호까지의 그 밖의 재료로 만든 제품
열교환기,증류기|살균기,8419,30,1550.7,0.245,3/30,OK,가열·조리·배소(焙燒)·증류·정류·살균·저온살균·증기가열·건조·증발·응축·냉각과 그 밖의 온도 변화에 따른 
철강제품,철강가공품,7326,5,2217.9,0.351,0/5,OK,철강으로 만든 그 밖의 제품
